covariate_index,wamd_after
Xc1,0.07075245097033461
Xc2,0.08478323513935142
Xc3,0.0
Xc4,0.014211562722530012
Xc5,0.0
Xc6,0.0020248487364453796
Xc7,0.0
Xc8,0.0029216754923825834
Xc9,0.006768342068846131
Xc10,0.0021124486762081553
Xc11,0.0
Xc12,0.0
Xc13,0.0
Xc14,0.0
Xc15,0.055415252975456145
Xc16,0.05056212379372119
Xc17,0.036553312569228155
Xc18,0.10323493680225897
Xc19,0.00248749070979198
Xc20,0.046649909024941365
Xc21,0.01257531255110933
Xc22,0.0
Xc23,0.006148669426752934
Xc24,0.0007725986295963394
Xc25,0.0
Xc26,0.006073754344105199
Xc27,0.020209119041233115
Xc28,0.03857612658083694
Xc29,0.0015058321436118736
Xc30,0.02302287553420312
Xc31,0.0
Xc32,0.10248606339114874
Xc33,0.08291441885242495
Xc34,0.0008205451459019537
Xc35,0.0008432183454757006
Xc36,0.01635487051508727
Xc37,0.0053691857705275275
Xc38,0.0
Xc39,0.004925821661965886
Xc40,0.0026738294789881525
Xc41,0.0
Xc42,0.0056710834489556265
Xc43,0.0
Xc44,0.0052032293972708215
Xc45,0.0
Xc46,0.06487440636815064
Xc47,0.015050753145438713
Xc48,0.0
Xc49,0.0
Xc50,0.0
Xp1,0.01692656272299151
Xp2,0.0
Xp3,0.0
Xp4,0.008638528383070804
Xp5,0.030912861394680382
Xp6,0.011638750257828014
Xp7,0.002009315169538758
Xp8,0.009428067961693942
Xp9,0.03184071003788992
Xp10,0.0
Xp11,0.0028826607487173928
Xp12,0.0
Xp13,0.01032727435663095
Xp14,0.008824860984640017
Xp15,0.008958808394988185
Xp16,0.016637910908930905
Xp17,0.010248151228518793
Xp18,0.0
Xp19,0.001044895276685472
Xp20,0.009812215498576577
Xp21,0.002729042154385869
Xp22,0.042048871101143304
Xp23,0.023105035889558746
Xp24,0.0
Xp25,0.0
Xp26,0.025665349898249225
Xp27,0.011565231560317472
Xp28,0.007505795717935915
Xp29,0.010681020948642074
Xp30,0.0
Xp31,0.004909057777288621
Xp32,0.004632794127445612
Xp33,0.007824559175427938
Xp34,0.00867853082394713
Xp35,0.023075107894604208
Xp36,0.0
Xp37,0.003913152831695711
Xp38,0.09427142811152742
Xp39,0.0012887840072628744
Xp40,0.01688292013986037
Xp41,0.028343923932749017
Xp42,0.0
Xp43,0.0509627727337739
Xp44,5.202134755827441e-06
Xp45,0.010485517033649814
Xp46,0.0
Xp47,0.0024166235754367613
Xp48,0.0019317057247616911
Xp49,0.015290654504591527
Xp50,0.0
Xi1,0.00841414415560009
Xi2,0.0
Xi3,0.0
Xi4,0.0
Xi5,0.0
Xi6,0.0027327671769498017
Xi7,0.0
Xi8,0.0
Xi9,0.0
Xi10,0.0021860749524738074
Xi11,0.0
Xi12,0.0
Xi13,0.0
Xi14,0.0
Xi15,0.0
Xi16,0.0
Xi17,0.0
Xi18,0.0
Xi19,0.0
Xi20,0.0
Xi21,0.1320984513940444
Xi22,0.0
Xi23,0.0
Xi24,0.08805379077444016
Xi25,0.0
Xi26,0.0
Xi27,0.0
Xi28,0.0
Xi29,0.0
Xi30,0.0017911661605606146
Xi31,0.0
Xi32,0.013289184617951645
Xi33,0.007695716282456808
Xi34,0.003425976928489829
Xi35,0.0
Xi36,0.0
Xi37,0.009696439927767328
Xi38,0.06692704337968902
Xi39,0.023538143453759788
Xi40,0.03542173288339159
Xi41,0.005689861888766974
Xi42,0.0
Xi43,0.0
Xi44,0.00044625921173742096
Xi45,0.0
Xi46,0.0
Xi47,0.0
Xi48,0.0
Xi49,0.0
Xi50,0.0
Xs1,0.0
Xs2,0.0
Xs3,0.0
Xs4,0.00028385223881028006
Xs5,0.0
Xs6,0.0
Xs7,0.0
Xs8,0.0
Xs9,0.0
Xs10,0.0
Xs11,0.0
Xs12,0.03547401425394044
Xs13,0.0
Xs14,0.0
Xs15,0.0031685383659051393
Xs16,0.024957940028116188
Xs17,0.0
Xs18,0.003054219337830849
Xs19,0.0
Xs20,0.0
Xs21,0.02193998081977676
Xs22,0.0
Xs23,0.004345290228281618
Xs24,0.0
Xs25,0.0
Xs26,0.004720306617692154
Xs27,0.0
Xs28,0.0
Xs29,0.0
Xs30,0.0
Xs31,0.0
Xs32,0.0
Xs33,0.0
Xs34,0.0
Xs35,0.0
Xs36,0.0
Xs37,0.0
Xs38,0.0
Xs39,0.0
Xs40,0.0
Xs41,0.0
Xs42,0.0
Xs43,0.014662156600744118
Xs44,0.0
Xs45,0.0
Xs46,0.0
Xs47,0.0
Xs48,0.0
Xs49,0.00691610713386033
Xs50,0.0026275728054123587
Xs51,0.012771974372500695
Xs52,0.0
Xs53,0.0
Xs54,0.05287602782480617
Xs55,0.0
Xs56,0.0
Xs57,0.0
Xs58,0.0
Xs59,0.012072124053986878
Xs60,0.0
Xs61,0.0
Xs62,0.0
Xs63,0.0018079203845221485
Xs64,0.0
Xs65,0.03790593876929896
Xs66,0.033827833455268415
Xs67,0.0749229138030612
Xs68,0.0
Xs69,0.0
Xs70,0.004436573980042725
Xs71,0.0
Xs72,0.0
Xs73,0.0
Xs74,0.0
Xs75,0.0
Xs76,0.0
Xs77,0.0
Xs78,0.0
Xs79,0.0
Xs80,0.0
Xs81,0.0
Xs82,0.0
Xs83,0.0
Xs84,0.0
Xs85,0.0
Xs86,0.0
Xs87,0.021884674080083984
Xs88,0.005021063645909159
