covariate_index,selection_proportion
1,0.1
2,0.1
3,0.16666666666666666
4,0.16666666666666666
5,0.13333333333333333
6,0.2
7,0.03333333333333333
8,0.06666666666666667
9,0.13333333333333333
10,0.1
11,0.06666666666666667
12,0.16666666666666666
13,0.2
14,0.13333333333333333
15,0.13333333333333333
16,0.16666666666666666
17,0.1
18,0.2
19,0.13333333333333333
20,0.13333333333333333
21,0.1
22,0.03333333333333333
23,0.06666666666666667
24,0.16666666666666666
25,0.23333333333333334
26,0.2
27,0.23333333333333334
28,0.06666666666666667
29,0.06666666666666667
30,0.13333333333333333
31,0.2
32,0.16666666666666666
33,0.23333333333333334
34,0.23333333333333334
35,0.2
36,0.16666666666666666
37,0.1
38,0.1
39,0.0
40,0.1
41,0.13333333333333333
42,0.06666666666666667
43,0.13333333333333333
44,0.16666666666666666
45,0.13333333333333333
46,0.13333333333333333
47,0.16666666666666666
48,0.1
49,0.13333333333333333
50,0.16666666666666666
51,0.1
52,0.06666666666666667
53,0.2
54,0.06666666666666667
55,0.03333333333333333
56,0.1
57,0.13333333333333333
58,0.13333333333333333
59,0.1
60,0.1
61,0.16666666666666666
62,0.16666666666666666
63,0.16666666666666666
64,0.06666666666666667
65,0.1
66,0.03333333333333333
67,0.13333333333333333
68,0.06666666666666667
69,0.13333333333333333
70,0.13333333333333333
71,0.13333333333333333
72,0.16666666666666666
73,0.1
74,0.1
75,0.0
76,0.1
77,0.1
78,0.1
79,0.16666666666666666
80,0.16666666666666666
81,0.2
82,0.1
83,0.23333333333333334
84,0.13333333333333333
85,0.1
86,0.2
87,0.1
88,0.16666666666666666
89,0.23333333333333334
90,0.3
91,0.2
92,0.1
93,0.16666666666666666
94,0.1
95,0.1
96,0.2
97,0.13333333333333333
98,0.1
99,0.1
100,0.1
101,0.03333333333333333
102,0.03333333333333333
103,0.1
104,0.0
105,0.0
106,0.06666666666666667
107,0.0
108,0.03333333333333333
109,0.1
110,0.03333333333333333
111,0.0
112,0.03333333333333333
113,0.1
114,0.03333333333333333
115,0.06666666666666667
116,0.0
117,0.06666666666666667
118,0.03333333333333333
119,0.03333333333333333
120,0.13333333333333333
121,0.06666666666666667
122,0.0
123,0.03333333333333333
124,0.0
125,0.03333333333333333
126,0.06666666666666667
127,0.0
128,0.0
129,0.0
130,0.03333333333333333
131,0.06666666666666667
132,0.0
133,0.0
134,0.06666666666666667
135,0.0
136,0.0
137,0.0
138,0.0
139,0.1
140,0.03333333333333333
141,0.06666666666666667
142,0.0
143,0.03333333333333333
144,0.03333333333333333
145,0.06666666666666667
146,0.06666666666666667
147,0.03333333333333333
148,0.0
149,0.06666666666666667
150,0.06666666666666667
151,0.03333333333333333
152,0.03333333333333333
153,0.03333333333333333
154,0.06666666666666667
155,0.0
156,0.03333333333333333
157,0.06666666666666667
158,0.0
159,0.0
160,0.0
161,0.06666666666666667
162,0.0
163,0.03333333333333333
164,0.03333333333333333
165,0.0
166,0.06666666666666667
167,0.03333333333333333
168,0.03333333333333333
169,0.0
170,0.06666666666666667
171,0.03333333333333333
172,0.03333333333333333
173,0.03333333333333333
174,0.03333333333333333
175,0.0
176,0.03333333333333333
177,0.06666666666666667
178,0.03333333333333333
179,0.1
180,0.03333333333333333
181,0.06666666666666667
182,0.1
183,0.03333333333333333
184,0.03333333333333333
185,0.03333333333333333
186,0.03333333333333333
187,0.03333333333333333
188,0.03333333333333333
189,0.03333333333333333
190,0.06666666666666667
191,0.1
192,0.1
193,0.03333333333333333
194,0.03333333333333333
195,0.06666666666666667
196,0.1
197,0.06666666666666667
198,0.03333333333333333
199,0.03333333333333333
200,0.03333333333333333
201,0.03333333333333333
202,0.1
203,0.03333333333333333
204,0.0
205,0.03333333333333333
206,0.06666666666666667
207,0.0
208,0.0
209,0.1
210,0.0
211,0.0
212,0.06666666666666667
213,0.06666666666666667
214,0.03333333333333333
215,0.06666666666666667
216,0.03333333333333333
217,0.06666666666666667
218,0.0
219,0.0
220,0.0
221,0.03333333333333333
222,0.03333333333333333
223,0.03333333333333333
224,0.03333333333333333
225,0.0
226,0.0
227,0.03333333333333333
228,0.03333333333333333
229,0.03333333333333333
230,0.03333333333333333
231,0.06666666666666667
232,0.03333333333333333
233,0.06666666666666667
234,0.06666666666666667
235,0.03333333333333333
236,0.0
237,0.03333333333333333
238,0.03333333333333333
239,0.03333333333333333
240,0.03333333333333333
241,0.0
242,0.0
243,0.03333333333333333
244,0.03333333333333333
245,0.1
246,0.06666666666666667
247,0.03333333333333333
248,0.1
249,0.0
250,0.13333333333333333
251,0.1
252,0.0
253,0.03333333333333333
254,0.0
255,0.06666666666666667
256,0.1
257,0.0
258,0.0
259,0.03333333333333333
260,0.0
261,0.03333333333333333
262,0.13333333333333333
263,0.03333333333333333
264,0.03333333333333333
265,0.03333333333333333
266,0.0
267,0.03333333333333333
268,0.1
269,0.03333333333333333
270,0.03333333333333333
271,0.03333333333333333
272,0.06666666666666667
273,0.0
274,0.0
275,0.03333333333333333
276,0.06666666666666667
277,0.03333333333333333
278,0.0
279,0.03333333333333333
280,0.03333333333333333
281,0.1
282,0.06666666666666667
283,0.03333333333333333
284,0.03333333333333333
285,0.03333333333333333
286,0.06666666666666667
287,0.06666666666666667
288,0.0
289,0.0
290,0.0
291,0.0
292,0.06666666666666667
293,0.03333333333333333
294,0.06666666666666667
295,0.06666666666666667
296,0.0
297,0.1
298,0.0
299,0.03333333333333333
300,0.1
301,0.03333333333333333
302,0.06666666666666667
303,0.0
304,0.06666666666666667
305,0.03333333333333333
306,0.0
307,0.06666666666666667
308,0.03333333333333333
309,0.0
310,0.1
311,0.03333333333333333
312,0.0
313,0.03333333333333333
314,0.06666666666666667
315,0.1
316,0.06666666666666667
317,0.0
318,0.0
319,0.03333333333333333
320,0.03333333333333333
321,0.06666666666666667
322,0.06666666666666667
323,0.03333333333333333
324,0.13333333333333333
325,0.03333333333333333
326,0.03333333333333333
327,0.06666666666666667
328,0.0
329,0.0
330,0.0
331,0.06666666666666667
332,0.0
333,0.0
334,0.0
335,0.03333333333333333
336,0.03333333333333333
337,0.0
338,0.03333333333333333
339,0.03333333333333333
340,0.0
341,0.03333333333333333
342,0.0
343,0.1
344,0.03333333333333333
345,0.03333333333333333
346,0.03333333333333333
347,0.0
348,0.03333333333333333
349,0.03333333333333333
350,0.06666666666666667
351,0.03333333333333333
352,0.03333333333333333
353,0.03333333333333333
354,0.03333333333333333
355,0.03333333333333333
356,0.06666666666666667
357,0.0
358,0.06666666666666667
359,0.03333333333333333
360,0.03333333333333333
361,0.0
362,0.03333333333333333
363,0.0
364,0.03333333333333333
365,0.03333333333333333
366,0.03333333333333333
367,0.0
368,0.16666666666666666
369,0.06666666666666667
370,0.06666666666666667
371,0.06666666666666667
372,0.03333333333333333
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.03333333333333333
379,0.0
380,0.0
381,0.03333333333333333
382,0.06666666666666667
383,0.1
384,0.03333333333333333
385,0.0
386,0.03333333333333333
387,0.03333333333333333
388,0.06666666666666667
389,0.06666666666666667
390,0.03333333333333333
391,0.0
392,0.0
393,0.06666666666666667
394,0.0
395,0.0
396,0.03333333333333333
397,0.03333333333333333
398,0.03333333333333333
399,0.06666666666666667
400,0.06666666666666667
401,0.03333333333333333
402,0.06666666666666667
403,0.0
404,0.03333333333333333
405,0.06666666666666667
406,0.03333333333333333
407,0.1
408,0.03333333333333333
409,0.03333333333333333
410,0.03333333333333333
411,0.03333333333333333
412,0.03333333333333333
413,0.06666666666666667
414,0.0
415,0.03333333333333333
416,0.06666666666666667
417,0.0
418,0.06666666666666667
419,0.0
420,0.03333333333333333
421,0.03333333333333333
422,0.03333333333333333
423,0.03333333333333333
424,0.13333333333333333
425,0.03333333333333333
426,0.0
427,0.06666666666666667
428,0.03333333333333333
429,0.0
430,0.03333333333333333
431,0.03333333333333333
