covariate_index,wamd_before
Xs204,0.0
Xs205,0.0
Xs206,0.0
Xs207,0.0
Xs208,0.0
Xs209,0.0
Xs210,0.0
Xs211,0.0
Xs212,0.0
Xs213,0.010456960531243878
Xs214,0.0
Xs215,0.0
Xs216,0.0
Xs217,0.00014225444410933204
Xs218,0.000169696545319416
Xs219,0.009244053895409566
Xs220,0.0017138864950599975
Xs221,0.005266317899046826
Xs222,0.000592251004670717
Xs223,0.010642866481210869
Xs224,0.0
Xs225,0.0
Xs226,0.0
Xs227,0.0
Xs228,0.007613794854753321
Xs229,0.00043764857670289606
Xs230,0.0
Xs231,0.0
Xs232,0.0
Xs233,0.007473841223563917
Xs234,0.0
Xs235,0.0
Xs236,0.0
Xs237,0.0
Xs238,0.0005534685846868205
Xs239,0.0
Xs240,0.0
Xs241,0.0037442108363801062
Xs242,0.0
Xs243,0.0
Xs244,0.0
Xs245,0.010425336596816144
Xs246,0.0
Xs247,0.0
Xs248,0.0
Xs249,0.0
Xs250,0.0
Xs251,0.0
Xs252,0.0
Xs253,0.0
Xs254,0.0
Xs255,0.0
Xs256,0.0
Xs257,0.017685749070330697
Xs258,0.005269342452458098
Xs259,0.0
Xs260,0.0
Xs261,0.0
Xs262,0.0
Xs263,0.0
Xs264,0.0
Xs265,0.0
Xs266,0.0
Xs267,0.0
Xs268,0.0
Xs269,0.0
Xs270,0.0
Xs271,0.0
Xs272,0.0
Xs273,0.0
Xs274,0.0
Xs275,0.0
Xs276,0.0
Xs277,0.003537581869363455
Xs278,0.0
Xs279,0.0
Xs280,0.0
Xs281,0.0003757115159613442
Xs282,0.0
Xs283,0.010696902736423257
Xs284,0.0
Xs285,0.0
Xs286,0.0
Xs287,0.0
Xs288,0.0
Xs289,0.0
Xs290,0.0
Xs291,0.0037353829718879414
Xs292,4.564859514228719e-05
Xs293,0.0
Xs294,0.0
Xs295,0.0
Xs296,0.0
Xs297,0.0
Xs298,0.0
Xs299,0.0
Xs300,0.0
Xs301,0.0
Xs302,0.0
Xs303,0.009813989289058415
Xs304,0.0
Xs305,0.014807665238908243
Xs306,0.0
Xs307,0.0
Xs308,0.0
Xs309,0.0
Xs310,0.0
Xs311,0.0
Xs312,0.004498120159610364
Xs313,0.0
Xs314,0.0
Xs315,0.0
Xs316,0.0
Xs317,0.0
Xs318,0.0
Xs319,0.0
Xs320,0.0
Xs321,0.0
Xs322,0.0
Xs323,0.0
Xs324,0.0
Xs325,0.0
Xs326,0.01267734920047117
Xs327,0.0
Xs328,0.0
Xs329,0.0
Xs330,0.0
Xs331,0.0
Xs332,0.001711889992564772
Xs333,0.0
Xs334,0.0
Xs335,0.0
Xs336,0.0
Xs337,0.0
Xs338,0.002421082511357046
Xs339,0.0017896565628359334
Xs340,0.009214360464523036
Xs341,0.0
Xs342,0.0
Xs343,0.0
Xs344,0.0
Xs345,0.0
Xs346,0.0
Xs347,0.0
Xs348,0.0
Xs349,0.0
Xs350,0.0
Xs351,0.00018615146555276015
Xs352,0.0
Xs353,0.0
Xs354,0.0002448468071927707
Xs355,0.0
Xs356,0.0
Xs357,0.0
Xs358,0.0006329129183406612
Xs359,0.0
Xs360,0.0
Xs361,0.0
Xs362,0.0025171978385490883
Xs363,0.0
Xs364,0.0
Xs365,0.0
Xs366,0.0
Xs367,0.0
Xs368,0.0
Xs369,0.0
Xs370,0.0
Xs371,0.0011409813536759116
Xs372,0.0
Xs373,0.0
Xs374,0.0
Xs375,0.006324907766310546
Xs376,0.0016258247017091332
Xs377,0.0
Xs378,0.026513938229093956
Xs379,0.0
Xs380,0.0
Xs381,0.0
Xs382,0.0
Xs383,0.0
Xs384,0.0
Xs385,0.0
Xs386,0.0
Xs387,0.0
Xs388,0.0
Xs389,0.0
Xs390,0.01434658616628962
Xs391,0.0
Xs392,0.0
Xs393,0.0026575843330307633
Xs394,0.0
Xs395,0.0
Xs396,0.0001471941869706886
Xs397,0.012266716814998139
Xs398,0.0
Xs399,0.0
Xs400,0.0
Xs401,0.009019301814426119
Xs402,0.004044455019648409
Xs403,0.0031177600439797797
Xs404,0.0
Xs405,0.0
Xs406,0.0
Xs407,0.0
Xs408,0.0
Xs409,0.0019786164247835927
Xs410,0.002618162627081229
Xs411,0.0
Xs412,0.0
Xs413,0.0
Xs414,0.0
Xs415,0.0
Xs416,0.0
Xs417,0.0
Xs418,0.0004204525279609972
Xs419,0.0
Xs420,0.00201256088668253
Xs421,0.0
Xs422,0.0
Xs423,0.0
Xs424,0.0
Xs425,0.0
Xs426,0.000394567866940408
Xs427,0.0
Xs428,0.0
Xs429,0.0013313944247558026
Xs430,0.0
Xs431,0.0
Xs432,0.0
Xs433,0.0
Xs434,0.0
Xs435,0.0
Xs436,0.0
Xs437,0.0
Xs438,0.0
Xs439,0.0
Xs440,0.0
Xs441,0.0
Xs442,0.0
Xs443,0.0
Xs444,0.0
Xs445,0.0
Xs446,0.0
Xs447,0.0015187681591908302
Xs448,0.0
Xs449,0.0
Xs450,0.0
Xs451,0.0
Xs452,0.0
Xs453,0.0
Xs454,0.0
Xs455,0.0
Xs456,0.0
Xs457,0.0
Xs458,0.0
Xs459,0.0
Xs460,0.0036866752324392054
Xs461,0.004513336893293798
Xs462,0.0
Xs463,0.0
Xs464,0.0013620692379389641
Xs465,0.0003453420628017349
Xs466,0.0
Xs467,0.0
Xs468,0.0020175519632494353
Xs469,0.007954323278366116
Xs470,0.0
