covariate_index,amd_after
Xc1,0.3813442267592203
Xc2,0.003205429416455137
Xc3,0.2418621996088226
Xc4,0.17129577716804625
Xc5,0.18327881636522153
Xc6,0.16065096612537497
Xc7,0.09428030172529968
Xc8,0.10304697993809106
Xc9,0.3497241472936785
Xc10,0.24545191839173613
Xc11,0.1134166247405716
Xc12,0.0038190675352869526
Xc13,0.06725504835166943
Xc14,0.19312186306124696
Xc15,0.11245392664021339
Xc16,0.1791202407629156
Xc17,0.007778720930154005
Xc18,0.17184274498773397
Xc19,0.11666725654880988
Xc20,0.08396257535097772
Xc21,0.4327660737370807
Xc22,0.2664321046681969
Xc23,0.34843924060591835
Xc24,0.2660959712751396
Xc25,0.030261875374434873
Xc26,0.38067420581925343
Xc27,0.35979522691704896
Xc28,0.38716895782175853
Xc29,0.01449959877974116
Xc30,0.11451825108163852
Xc31,0.036942252304016716
Xc32,0.2784158532701803
Xc33,0.019605872249276964
Xc34,0.007237725769313592
Xc35,0.31384167937654317
Xc36,0.11478065442111221
Xc37,0.07032956386148012
Xc38,0.12678704554076672
Xc39,0.010331877491987346
Xc40,0.19679357747741416
Xc41,0.13231291411689775
Xc42,0.007754221822898458
Xc43,0.09136402552445487
Xc44,0.22692840694554264
Xc45,0.15420333313894674
Xc46,0.20742051314653548
Xc47,0.03954988975752058
Xc48,0.09004422116870645
Xc49,0.19206414801690208
Xc50,0.13840571995271606
Xp1,0.16096603440713933
Xp2,0.07542413010626632
Xp3,0.013323950797353209
Xp4,0.1295251514121394
Xp5,0.1065593534098686
Xp6,0.011912873638527093
Xp7,0.051434738331367594
Xp8,0.0025495135219790344
Xp9,0.07124709016836578
Xp10,0.1490693718843875
Xp11,0.24013743369227908
Xp12,0.08752658452078174
Xp13,0.1749919104629309
Xp14,0.0445290739287632
Xp15,0.020270202238469308
Xp16,0.09234439952493864
Xp17,0.24896946448785748
Xp18,0.008534409836106753
Xp19,0.04646784304790179
Xp20,0.0692914118269399
Xp21,0.27366100125241744
Xp22,0.026800128165338437
Xp23,0.041872415356283166
Xp24,0.06569290522046213
Xp25,0.19455082157808293
Xp26,0.13482071035371762
Xp27,0.11713677245417242
Xp28,0.12425395903588697
Xp29,0.04502591233972189
Xp30,0.18671073020438478
Xp31,0.11313215609452879
Xp32,0.1311038116091764
Xp33,0.11218877464783303
Xp34,0.02422681600917579
Xp35,0.023444875690377225
Xp36,0.15239227719059287
Xp37,0.07601489078786659
Xp38,0.11850737517200895
Xp39,0.0006711692037034793
Xp40,0.25206883250904744
Xp41,0.2706834581019124
Xp42,0.06390136279883984
Xp43,0.02269766967137197
Xp44,0.11399963052516922
Xp45,0.008785650063326277
Xp46,0.026070362319426964
Xp47,0.09443916695194557
Xp48,0.12197904931211223
Xp49,0.02659629256553063
Xp50,0.0882791360341974
Xi1,0.037911381360443544
Xi2,0.13254817424488372
Xi3,0.023748895791606706
Xi4,0.034884006737911345
Xi5,0.05904424407960586
Xi6,0.05241740693431804
Xi7,0.005499644815005936
Xi8,0.15579988774789713
Xi9,0.07070801981919717
Xi10,0.15018440812496403
Xi11,0.15723192726981794
Xi12,0.23742389502539168
Xi13,0.012542445329494202
Xi14,0.016810909843880416
Xi15,0.11475608117083272
Xi16,0.13602768610874466
Xi17,0.07911626992314885
Xi18,0.016976638806934584
Xi19,0.11652769545819724
Xi20,0.3694811402564001
Xi21,0.22092524869860453
Xi22,0.04885779757015258
Xi23,0.09686739080516063
Xi24,0.05689258184822096
Xi25,0.30299112830205743
Xi26,0.0987336550285268
Xi27,0.0004775067768297306
Xi28,0.1283901767770655
Xi29,0.03433906946619013
Xi30,0.22902919517646092
Xi31,0.10630348261502948
Xi32,0.0328387438082957
Xi33,0.031405029174186756
Xi34,0.09765109486233216
Xi35,0.013902818253933805
Xi36,0.11602987793332357
Xi37,0.13710695010532525
Xi38,0.05095474715526695
Xi39,0.2508094277780204
Xi40,0.11554555189327423
Xi41,0.05425187621018997
Xi42,0.09735164050927483
Xi43,0.051981617220692194
Xi44,0.2523268521192208
Xi45,0.0160606031309184
Xi46,0.0982090598389891
Xi47,0.1466054595910229
Xi48,0.17928338564866975
Xi49,0.12317379700682687
Xi50,0.025409168283805475
Xs1,0.3605114086147915
Xs2,0.3259987896696767
Xs3,0.08366337900891871
Xs4,0.0574016087904622
Xs5,0.1132715482059801
Xs6,0.04709004633777107
Xs7,0.2577802513178553
Xs8,0.12071603534791742
Xs9,0.07973238068187917
Xs10,0.14782292659773955
Xs11,0.18735716446190656
Xs12,0.09786195649151128
Xs13,0.09499125648514088
Xs14,0.09597180102631002
Xs15,0.007894187402085083
Xs16,0.08981812599820256
Xs17,0.07627135192995621
Xs18,0.07303339997499786
Xs19,0.10911911259256846
Xs20,0.03175438639304644
Xs21,0.08772332423729406
Xs22,0.13684541650278287
Xs23,0.10490088361137004
Xs24,0.13240696856727321
Xs25,0.07989416559731562
Xs26,0.028829640859810206
Xs27,0.032743468602892824
Xs28,0.026649083503089713
Xs29,0.03699227824763593
Xs30,0.05492819154074881
Xs31,0.010659400046246666
Xs32,0.11765716063734863
Xs33,0.293141020751855
Xs34,0.23338276875382097
Xs35,0.09064618354090628
Xs36,0.0035357321340068236
Xs37,0.17100866767162232
Xs38,0.1172361192887596
Xs39,0.12139714819793707
Xs40,0.0009482590987295229
Xs41,0.18764581816346382
Xs42,0.07368383901189829
Xs43,0.06426675336019283
Xs44,0.14642562400621942
Xs45,0.22873263260925136
Xs46,0.12957890319153575
Xs47,0.024033227214398923
Xs48,0.1847343732603732
Xs49,0.3113449420926011
Xs50,0.33095313983333413
Xs51,0.15762390848183433
Xs52,0.24357434232694597
Xs53,0.03174856131748087
Xs54,0.006057424503380076
Xs55,0.021211065465412286
Xs56,0.22967360444006948
Xs57,0.15041857240109233
Xs58,0.13968889127690495
Xs59,0.10444358895785762
Xs60,0.03878055333069839
Xs61,0.19535085204048216
Xs62,0.0784316398811876
Xs63,0.01345780035987824
Xs64,0.25790001648691746
Xs65,0.180429011959238
Xs66,0.021964870224033185
Xs67,0.1785098586715264
Xs68,0.09773990004960725
Xs69,0.16366378182224672
Xs70,0.36451880956021526
Xs71,0.00334454380282302
Xs72,0.07039801883917227
Xs73,0.21502134712784587
Xs74,0.18299358715805764
Xs75,0.00678369134523003
Xs76,0.06208429739512445
Xs77,0.21027921497811075
Xs78,0.01128782618258381
Xs79,0.05780796195188587
Xs80,0.04458588774089045
Xs81,0.060482417151366714
Xs82,0.015670639584488315
Xs83,0.07466847670313964
Xs84,0.17952289732349264
Xs85,0.07412761170932604
Xs86,0.15790768136823358
Xs87,0.027388525496765934
Xs88,0.35907481844136513
Xs89,0.2564249836551415
Xs90,0.10543715277652425
Xs91,0.3104830961862589
Xs92,0.014110005897400309
Xs93,0.014610784838473048
Xs94,0.06442082858442999
Xs95,0.2818083187210941
Xs96,0.1470202797789561
Xs97,0.2507874013457136
Xs98,0.049190261704724625
Xs99,0.06993191777413049
Xs100,0.04135417077784546
Xs101,0.26988869443119434
Xs102,0.15747166210554508
Xs103,0.1422239927536892
Xs104,0.11534001298998567
Xs105,0.017276306111961702
Xs106,0.12732667739889597
Xs107,0.04995296998380613
Xs108,0.2290251787172692
Xs109,0.2200638274446429
Xs110,0.057134165880633914
Xs111,0.07721138264042465
Xs112,0.14680104596488813
Xs113,0.2151856288451388
Xs114,0.16125665696038216
Xs115,0.07150588310597078
Xs116,0.09602930273773189
Xs117,0.04564466802662753
Xs118,0.2513083333281112
Xs119,0.1967138581226865
Xs120,0.14382980459008882
Xs121,0.11329525459198483
Xs122,0.17385135206806046
Xs123,0.13277321276124873
Xs124,0.04226967536634528
Xs125,0.06977366558172945
Xs126,0.07718327160067501
Xs127,0.20764152022115445
Xs128,0.2610910083694682
Xs129,0.21445157428699346
