covariate_index,amd_before
Xc1,1.1514494671005289
Xc2,1.152182411207932
Xc3,1.0963123722701513
Xc4,1.2721808917420336
Xc5,1.1631163324833307
Xc6,1.1904019915807407
Xc7,1.0834808835431955
Xc8,1.0859233677615328
Xc9,1.1130713019503833
Xc10,1.2990781091773496
Xp1,1.1113493617375343
Xp2,1.0937288456916843
Xp3,1.0774798979848605
Xp4,1.1205378778547936
Xp5,1.1400751217281857
Xp6,1.2104040198120432
Xp7,1.0444851486720688
Xp8,1.1562910521139012
Xp9,1.0389734518972926
Xp10,1.1811378974513593
Xi1,1.1601573874268325
Xi2,1.0549749462279157
Xi3,1.1017776439280684
Xi4,1.2667453558932054
Xi5,1.2238879181830815
Xi6,1.243072457959413
Xi7,1.1742061050956418
Xi8,1.24360841551733
Xi9,1.3296733656104633
Xi10,1.200410238224411
Xs1,1.012465305944815
Xs2,1.1687649320765017
Xs3,1.148952575278459
Xs4,1.0492582884845314
Xs5,1.0351584561278102
Xs6,1.1750133489462702
Xs7,1.0718258379421948
Xs8,1.1628217088787958
Xs9,1.2342261552584954
Xs10,1.2348016597156635
Xs11,1.258686679595439
Xs12,1.1339937220120933
Xs13,1.0624647724295055
Xs14,1.0717481011774352
Xs15,1.1611358960243106
Xs16,1.1377892590675476
Xs17,1.1858462712413111
Xs18,1.1787314163279734
Xs19,1.2064681204843262
Xs20,1.107517824499904
Xs21,1.0771069235057982
Xs22,1.176458519740271
Xs23,1.0600122812712403
Xs24,1.2131103972779682
Xs25,1.141425571606599
Xs26,1.1236532339724494
Xs27,1.1989546292708346
Xs28,1.1363029425781894
Xs29,1.0259596672598414
Xs30,1.2631295875219932
Xs31,1.0270996698160282
Xs32,1.285290688438276
Xs33,0.9865677082577748
Xs34,1.2057099585842312
Xs35,1.1188725569095828
Xs36,1.0342758561733274
Xs37,1.1267694978000256
Xs38,1.1875452572784868
Xs39,1.1081904969340215
Xs40,1.0619885396311755
Xs41,1.1673357823479382
Xs42,1.0254326447751323
Xs43,1.1457518334713814
Xs44,1.0432690934439108
Xs45,1.0116913063275699
Xs46,1.0463912000277702
Xs47,1.1801982736492131
Xs48,0.9799726234196604
Xs49,1.1396064693584282
Xs50,1.0689496086666845
Xs51,1.0905226154350682
Xs52,1.186544444595579
Xs53,1.169575260817323
Xs54,1.1206741051153517
Xs55,1.2644602056428167
Xs56,1.1423447359312489
Xs57,1.2215652987962229
Xs58,1.213966103020704
Xs59,1.0692206413843581
Xs60,1.0561396277883421
Xs61,1.1608309653067248
Xs62,1.1455624095974173
Xs63,1.0633632775388793
Xs64,1.1837880085856867
Xs65,1.230043222552657
Xs66,1.2122824796077867
Xs67,1.198730087750449
Xs68,1.152781207214638
Xs69,1.0940795130498557
Xs70,1.128277900483949
Xs71,1.278798856874544
Xs72,1.1938391968006132
Xs73,1.1796282224099286
Xs74,1.0162398392282623
Xs75,1.1389122724426406
Xs76,1.1814425055654512
Xs77,1.1495059692426501
Xs78,1.1187041183418645
Xs79,1.1282399616134433
Xs80,1.2034619993335811
Xs81,1.0987188179061589
Xs82,1.1684216286722602
Xs83,1.0838781834590447
Xs84,1.1621615809276458
Xs85,1.1195096364177266
Xs86,1.127469124639672
Xs87,1.1871783464740142
Xs88,1.233214173771313
Xs89,1.140441422324721
Xs90,1.1982893681869466
Xs91,1.2374034932939035
Xs92,1.258549089374683
Xs93,1.071435829464274
Xs94,1.1400827308960169
Xs95,1.0968162037658686
Xs96,1.1405261520512553
Xs97,1.314857194023836
Xs98,1.2641038888544958
Xs99,1.2253148689469011
Xs100,1.2358496838766184
Xs101,1.2451864142035163
Xs102,1.0711938861782233
Xs103,1.0463416347428152
Xs104,1.144812001112732
Xs105,1.2613548071551033
Xs106,1.227913691179122
Xs107,1.2940396423869156
Xs108,1.2214898904718727
Xs109,0.9793317904227123
Xs110,1.0841025548368655
Xs111,1.1666298964047979
Xs112,1.1510526200228242
Xs113,1.1972107968160632
Xs114,1.1709758629734717
Xs115,1.1521192872839796
Xs116,1.1663390248548682
Xs117,1.0694031293191855
Xs118,1.1807087904661033
Xs119,1.1693802878770891
Xs120,1.1809855050256104
Xs121,1.1276629847028166
Xs122,1.2058690084024504
Xs123,1.0680694111787177
Xs124,1.136267983215014
Xs125,1.1525874255996076
Xs126,1.2723672189493336
Xs127,1.0952939757770837
Xs128,1.2532953694172515
Xs129,1.0353448897899096
Xs130,1.0882655097760976
Xs131,1.1848801097342925
Xs132,1.2742958929348291
Xs133,0.9523535490613737
Xs134,1.109072428158184
Xs135,1.1108233917243735
Xs136,1.087852269894651
Xs137,1.2500995398703765
Xs138,1.2964318556382257
Xs139,1.00993953873852
Xs140,1.1351525429238478
Xs141,1.1599490949464981
Xs142,1.1894411094220771
Xs143,1.0890411620418037
Xs144,1.1331326982376084
Xs145,1.0548241433920897
Xs146,1.0947926032872703
Xs147,1.1143662790106332
Xs148,1.073161675474448
Xs149,1.1444115410579823
Xs150,0.9205618678703296
Xs151,0.9934147478707605
Xs152,1.031897959143228
Xs153,1.1160522678521736
Xs154,0.9864347385584933
Xs155,1.1607815477775056
Xs156,1.1420495712402285
Xs157,1.1262917312030012
Xs158,1.1613761069198487
Xs159,1.0182135290678263
Xs160,1.136141541957989
Xs161,1.2041509048172039
Xs162,1.0742797354530502
Xs163,1.1572381326211292
Xs164,1.138645563321548
Xs165,1.157358244813774
Xs166,1.1234493068301028
Xs167,1.0968332375947045
Xs168,1.2045376966560442
Xs169,1.270838120955317
Xs170,1.159534223650042
Xs171,1.0615047342894415
Xs172,1.2575003691146376
Xs173,1.1725782487240828
Xs174,1.114273533613839
Xs175,1.152270740276705
Xs176,1.0610523343314124
Xs177,1.0918555203781561
Xs178,1.109252353725664
Xs179,1.1500623696888486
Xs180,1.1518694535417917
Xs181,1.181310416992285
Xs182,1.0788933690961087
Xs183,1.0675196950094126
Xs184,1.1204131010226681
Xs185,1.1195399351503688
Xs186,1.1502486682069963
Xs187,1.2092788171358948
Xs188,1.1987647547031504
Xs189,1.1100118068858817
Xs190,1.133017927885588
Xs191,1.055332137812616
Xs192,1.1422253089906207
Xs193,1.2166807016756536
Xs194,1.2018353498064327
Xs195,1.1184942582239867
Xs196,1.1874604611934445
Xs197,1.0664593913891711
Xs198,1.104804046596147
Xs199,1.1619382789323285
Xs200,1.1330878745823512
Xs201,1.254533858663934
Xs202,1.054714312410403
Xs203,1.1947015257579134
Xs204,1.1337748242678627
Xs205,1.1409689851443763
Xs206,1.2812714469717084
Xs207,1.159779095694226
Xs208,1.2057233069604802
Xs209,1.1496904302782105
Xs210,1.0729758077727225
Xs211,1.1857882185053277
Xs212,0.952135751867843
Xs213,1.103524718526601
Xs214,1.1230240126374484
Xs215,1.1863895120525865
Xs216,1.0973446019495736
Xs217,0.9933840610134165
Xs218,1.303094332133777
Xs219,1.1299956425112834
Xs220,1.1403948917241753
Xs221,1.0463965192434679
Xs222,1.1361796377514466
Xs223,1.1411254802074244
Xs224,1.3131226892102978
Xs225,1.063874841273037
Xs226,1.2100771869121734
Xs227,1.1072928519871352
Xs228,1.0681597174320694
Xs229,1.2359377697897818
Xs230,1.2011544916128662
Xs231,1.1088982760584858
Xs232,1.0512906962825528
Xs233,1.134956426774632
Xs234,1.1309663852341625
Xs235,1.143601505553535
Xs236,1.221096861786582
Xs237,1.2305986926457446
Xs238,1.2206067693195388
Xs239,1.0894541957968888
Xs240,1.1344575062105462
Xs241,1.0554357369150944
Xs242,0.9298563408887146
Xs243,1.084596273094113
Xs244,1.1163885035663133
Xs245,1.17257806391172
Xs246,1.1004412033824051
Xs247,1.1496576647354346
Xs248,1.1028037245115345
Xs249,1.1691108238137322
Xs250,1.123777610389552
Xs251,1.1690320123899935
Xs252,1.1389702255401106
Xs253,1.1984782741161077
Xs254,1.13608689980956
Xs255,1.1113609150187194
Xs256,1.2037601736817
Xs257,1.180465633972514
Xs258,1.1854795523678705
Xs259,1.0440364210928534
Xs260,1.1618020424276225
Xs261,1.086528814237635
Xs262,1.1657829726652669
Xs263,0.9881008382985488
Xs264,1.1701016426909292
Xs265,1.2025012126057257
Xs266,1.1319972425314906
Xs267,1.113164888474931
Xs268,1.1006846563384731
Xs269,1.0826006755689708
Xs270,1.1122428089623329
