covariate_index,wamd_before
Xc1,0.19249487083118744
Xc2,0.20925431042391787
Xp1,0.056357707457344114
Xp2,0.004821568570447382
Xi1,0.01344776404067798
Xi2,0.04150582810170686
Xs1,0.009322772923420142
Xs2,0.06095341933696639
Xs3,0.04773523122320477
Xs4,0.007617102168791847
Xs5,0.010403517939157097
Xs6,0.020519681442169802
Xs7,0.00026746293299050896
Xs8,0.0009517267930069276
Xs9,0.009017304015372214
Xs10,0.010974725323425895
Xs11,0.004664910787206727
Xs12,0.0007613732106245038
Xs13,0.011945955004724155
Xs14,0.0033481260085752268
Xs15,0.0032488473598097827
Xs16,0.001387071933834086
Xs17,0.046886412227417594
Xs18,0.003701170442265171
Xs19,0.006893925099949326
Xs20,0.0031325887738608642
Xs21,0.0003142184185318254
Xs22,0.0019658255836118104
Xs23,2.8412476200650098e-05
Xs24,0.013089174528146544
Xs25,0.010021056111557592
Xs26,0.0002463598885372807
Xs27,0.004846846757041205
Xs28,0.0004616011328344404
Xs29,0.0036425696979980804
Xs30,0.0020175723079041826
Xs31,0.0005214718270546455
Xs32,0.00945426130375287
Xs33,0.005947909859619396
Xs34,6.365545433983141e-06
Xs35,0.010160835053237989
Xs36,0.00686764187378654
Xs37,0.018531464941942105
Xs38,0.010096233376986388
Xs39,0.004232962234715527
Xs40,0.016680412779006212
Xs41,0.013046529505758877
Xs42,0.0018510116990339983
Xs43,0.002407609439305024
Xs44,0.005048135434379202
Xs45,0.0014887770035094772
Xs46,0.0029887581215225284
Xs47,0.002833863790403055
Xs48,0.006462241747224695
Xs49,0.0044659573443620055
Xs50,0.0012261716508152
Xs51,0.012602437142957449
Xs52,0.008303079587721328
Xs53,0.006770736642650644
Xs54,0.01376306239614069
Xs55,0.002789438014327082
Xs56,0.004817910862304322
Xs57,0.002338657323569408
Xs58,0.0006707569933266828
Xs59,0.012178663135617012
Xs60,0.032723936475238045
Xs61,0.0019746542691688068
Xs62,0.01106536731420566
Xs63,0.0008569733813381013
Xs64,0.01692733321303277
Xs65,0.006282320337669629
Xs66,0.004740035564661392
Xs67,0.001589826704116803
Xs68,0.0005365766209744043
Xs69,0.00622233324020884
Xs70,3.871359775366265e-05
Xs71,0.001474636251776681
Xs72,0.008276603629463529
Xs73,0.0006084187483109384
Xs74,0.005257716273755168
Xs75,0.00020170975386564558
Xs76,0.01445648806971379
Xs77,0.009487088888888072
Xs78,0.0025662234152454234
Xs79,0.018497284990300376
Xs80,0.0459330634977274
Xs81,0.00012502427412365154
Xs82,0.00041681801542951076
Xs83,0.00019203438859782856
Xs84,0.005828773654888512
Xs85,0.004353034114082648
Xs86,0.010560845907316499
Xs87,0.04842028623216298
Xs88,0.030305326977652227
Xs89,0.00013231637508446422
Xs90,0.0016926676848092641
Xs91,0.005333100453440753
Xs92,0.009447484093833523
Xs93,0.02256202210630741
Xs94,0.04251240344411252
