coef_index,coef_value
Xs271,0.0
Xs272,0.0
Xs273,-0.0
Xs274,0.0
Xs275,0.09370734719859791
Xs276,-0.0
Xs277,0.0
Xs278,-0.0
Xs279,-0.06512940692811978
Xs280,-0.0
Xs281,-0.0
Xs282,-0.0
Xs283,0.0
Xs284,-0.0030358980080694314
Xs285,-0.0
Xs286,0.0
Xs287,0.0
Xs288,-0.02335647652422827
Xs289,-0.0
Xs290,-0.0
Xs291,0.0
Xs292,0.0
Xs293,-0.03256202655843708
Xs294,-0.0
Xs295,-0.0
Xs296,0.0
Xs297,-0.0
Xs298,-0.0
Xs299,0.0
Xs300,-0.0
Xs301,-0.0
Xs302,0.0
Xs303,0.0
Xs304,-0.0
Xs305,0.0
Xs306,-0.0
Xs307,0.04864016513862842
Xs308,0.0
Xs309,0.03599338491597801
Xs310,-0.0
Xs311,0.0
Xs312,0.0
Xs313,-0.00500494082377893
Xs314,0.0
Xs315,-0.0
Xs316,-0.0
Xs317,0.0
Xs318,-0.0
Xs319,0.0
Xs320,0.0
Xs321,0.0
Xs322,-0.0
Xs323,-0.0
Xs324,0.0
Xs325,-0.0008905290411972276
Xs326,0.0
Xs327,-0.0
Xs328,-0.11825442785109982
Xs329,0.0
Xs330,0.0
Xs331,-0.029355513230263777
Xs332,0.0
Xs333,-0.0
Xs334,0.0
Xs335,0.0
Xs336,0.0
Xs337,0.0
Xs338,-0.0
Xs339,0.0
Xs340,-0.0
Xs341,0.0
Xs342,-0.0
Xs343,0.0
Xs344,0.0
Xs345,-0.0
Xs346,-0.0250383946797487
Xs347,-0.0
Xs348,-0.0
Xs349,-0.0
Xs350,0.08297304659846165
Xs351,-0.0
Xs352,0.0
Xs353,-0.0
Xs354,-0.0
Xs355,0.05345151019268699
Xs356,-0.0
Xs357,0.0355528213324781
Xs358,-0.0
Xs359,0.0
Xs360,-0.018501140947603023
Xs361,-0.0
Xs362,-0.06268102229284907
Xs363,0.0
Xs364,0.0
Xs365,-0.0
Xs366,-0.0
Xs367,0.00031182811791093286
Xs368,0.0
Xs369,0.0
Xs370,-0.0
Xs371,0.0
Xs372,-0.0
Xs373,0.0
Xs374,-0.0
Xs375,-0.03051283731133692
Xs376,0.0
Xs377,0.0
Xs378,-0.0
Xs379,-0.0
Xs380,0.00469613439352025
Xs381,-0.0
Xs382,0.0
Xs383,-0.0
Xs384,-0.0
Xs385,-0.0
Xs386,0.0
Xs387,0.0
Xs388,0.014119546699995328
Xs389,0.0746790332713614
Xs390,-0.0
Xs391,-0.0
Xs392,0.03531915842474321
Xs393,0.0
Xs394,0.0
Xs395,-0.0
Xs396,0.037634584772776036
Xs397,-0.0
Xs398,-0.0
