covariate_index,wamd_after
Xc1,0.0
Xc2,0.0
Xc3,0.0
Xc4,0.0
Xc5,0.0
Xc6,0.0009077057357559168
Xc7,0.0
Xc8,0.0
Xc9,0.007624234186795949
Xc10,0.0
Xc11,0.0
Xc12,8.863719971455534e-05
Xc13,0.0
Xc14,0.0001287570562842889
Xc15,0.0
Xc16,0.007890923207282097
Xc17,0.0
Xc18,0.00014166841497538873
Xc19,0.013552881302940951
Xc20,0.0
Xc21,0.0
Xc22,0.0
Xc23,0.0005751166749081982
Xc24,0.0
Xc25,0.0030666581465321786
Xc26,0.001477671276276436
Xc27,0.032486210392275706
Xc28,0.0
Xc29,0.0
Xc30,0.0
Xc31,0.005339504802562017
Xc32,0.0
Xc33,0.0003228135755798157
Xc34,0.0025092608339834133
Xc35,0.0
Xc36,0.024518556604001047
Xc37,0.0
Xc38,7.721776623473507e-05
Xc39,0.0
Xc40,0.0
Xc41,0.0
Xc42,0.030297007708021677
Xc43,0.008174155541913955
Xc44,0.00881143028360261
Xc45,0.0
Xc46,0.008776866956812502
Xc47,0.007183028493115971
Xc48,0.0
Xc49,0.018981385828897853
Xc50,0.020213464522944407
Xp1,0.0
Xp2,0.0
Xp3,0.0004127610643097377
Xp4,0.0
Xp5,0.0
Xp6,0.0
Xp7,0.0
Xp8,0.0
Xp9,0.0
Xp10,0.0
Xp11,0.0008254323244624467
Xp12,0.0011455665724204977
Xp13,0.0
Xp14,0.0
Xp15,0.0
Xp16,0.0
Xp17,0.0003629860142633722
Xp18,0.0
Xp19,0.0
Xp20,0.011662215432586302
Xp21,0.005823119303731849
Xp22,0.0
Xp23,0.0
Xp24,0.0019826732899366393
Xp25,0.0
Xp26,0.0
Xp27,0.0
Xp28,0.0
Xp29,0.0
Xp30,0.0
Xp31,0.0
Xp32,0.0003517299541649862
Xp33,0.0
Xp34,0.0018392226312846556
Xp35,0.007788632721781767
Xp36,0.0
Xp37,0.0
Xp38,0.0
Xp39,0.0032157550609089067
Xp40,0.0012342573608354103
Xp41,0.0010282783306598544
Xp42,0.0
Xp43,0.0008776564652493292
Xp44,0.0
Xp45,0.0012406891681815413
Xp46,0.0
Xp47,0.0
Xp48,0.015557759464817739
Xp49,0.0
Xp50,0.0
Xi1,0.0
Xi2,0.0
Xi3,0.0005868627031994871
Xi4,0.0
Xi5,0.0
Xi6,0.0
Xi7,0.0
Xi8,0.0
Xi9,4.7001267969071255e-05
Xi10,0.0
Xi11,0.0
Xi12,0.0
Xi13,0.0018154254675188945
Xi14,0.0
Xi15,0.017044096850306042
Xi16,0.0
Xi17,0.0
Xi18,0.0
Xi19,0.0
Xi20,0.0
Xi21,0.0
Xi22,0.0
Xi23,0.0
Xi24,0.0
Xi25,0.0
Xi26,0.0
Xi27,0.0
Xi28,0.0
Xi29,0.0
Xi30,0.0
Xi31,0.0
Xi32,0.0
Xi33,0.0
Xi34,0.0
Xi35,0.0
Xi36,0.0
Xi37,0.0
Xi38,0.0
Xi39,0.005971545106420675
Xi40,0.0
Xi41,0.0034118140454554523
Xi42,0.0
Xi43,0.0
Xi44,0.0
Xi45,0.0010745245294998384
Xi46,0.0011834827284240782
Xi47,0.0
Xi48,0.0
Xi49,0.0
Xi50,0.0029406428906313376
Xs1,0.0
Xs2,0.006388354252841101
Xs3,0.0
Xs4,0.006017955496296396
Xs5,0.0
Xs6,0.0
Xs7,0.0
Xs8,0.0
Xs9,0.0
Xs10,0.0
Xs11,0.0
Xs12,0.0
Xs13,0.0
Xs14,0.0
Xs15,0.0
Xs16,0.0
Xs17,0.0
Xs18,0.0
Xs19,0.0
Xs20,0.0
Xs21,0.0
Xs22,0.0
Xs23,0.0
Xs24,0.0
Xs25,0.0
Xs26,0.0
Xs27,0.0
Xs28,0.0
Xs29,0.000965686558900001
Xs30,0.00017604596252896704
Xs31,0.002003767060361204
Xs32,0.0
Xs33,0.0
Xs34,0.003221514621352997
Xs35,0.0
Xs36,0.0
Xs37,0.00986986714410851
Xs38,0.0
Xs39,0.0
Xs40,0.0
Xs41,0.0
Xs42,0.023378866043142033
Xs43,0.0
Xs44,0.0005304278769652182
Xs45,0.0
Xs46,0.0
Xs47,0.0
Xs48,0.0
Xs49,0.0
Xs50,0.0
Xs51,0.0
Xs52,0.004138278390346222
Xs53,0.0
Xs54,0.0
Xs55,0.0014774841778930155
Xs56,0.0
Xs57,0.0
Xs58,0.0
Xs59,0.0013013388510512097
Xs60,0.0
Xs61,0.0
Xs62,0.0
Xs63,0.004307734529743329
Xs64,0.0
Xs65,0.0
Xs66,0.0
Xs67,0.0
Xs68,0.0
Xs69,0.0
Xs70,0.0
Xs71,0.0
Xs72,0.0
Xs73,0.0
Xs74,0.0
Xs75,0.0
Xs76,0.0
Xs77,0.0
Xs78,0.0
Xs79,0.0
Xs80,0.0
Xs81,0.0
Xs82,0.024349521284225906
Xs83,0.012789016686610552
Xs84,0.0029862557902080727
Xs85,0.0022324761185855166
Xs86,0.0
Xs87,0.0
Xs88,0.0
Xs89,0.0
Xs90,0.0
Xs91,0.0
Xs92,0.0
Xs93,0.0
Xs94,0.0
Xs95,0.0
Xs96,0.0
Xs97,0.0
Xs98,0.0031659289709383962
Xs99,0.0
Xs100,0.030287764569695806
Xs101,0.0
Xs102,0.0
Xs103,0.0
Xs104,0.0
Xs105,0.0
Xs106,0.006964294646703937
Xs107,0.0
Xs108,0.0
Xs109,0.0
Xs110,0.0
Xs111,0.0
