covariate_index,amd_before
Xc1,0.11695381886000249
Xc2,0.09518360336804126
Xc3,0.07551747984538876
Xc4,0.3327262111832263
Xc5,0.13545178796618673
Xc6,0.24356948674759987
Xc7,0.05608578436729916
Xc8,0.05882797814860602
Xc9,0.0866381747589497
Xc10,0.19172829354804133
Xc11,0.012163933458239967
Xc12,0.06929354097459947
Xc13,0.07029655535707505
Xc14,0.2165947152900967
Xc15,0.01413296276255157
Xc16,0.05716172766153582
Xc17,0.04539972170467721
Xc18,0.05371408829981851
Xc19,0.0241786248124513
Xc20,0.010860479093943635
Xc21,0.17219647197563054
Xc22,0.27461026349264067
Xc23,0.16527771119220552
Xc24,0.07028520796754298
Xc25,0.1510672903665036
Xc26,0.06211762138768454
Xc27,0.18334546805680227
Xc28,0.012044751704271913
Xc29,0.06391924504466912
Xc30,0.29960657424883896
Xc31,0.15456954010583512
Xc32,0.09184369106440671
Xc33,0.1305097666190172
Xc34,0.02829837453703849
Xc35,0.12280023798410478
Xc36,0.24777892617994127
Xc37,0.11287313865858878
Xc38,0.025440214655646137
Xc39,0.1798676881955928
Xc40,0.05939743901646124
Xc41,0.1679504679977062
Xc42,0.13379976581161146
Xc43,0.03188715810891064
Xc44,0.057045908120726685
Xc45,0.05002342820288422
Xc46,0.08401692653231367
Xc47,0.016293859304239815
Xc48,0.055890107063714736
Xc49,0.16066389850257062
Xc50,0.08411413953655472
Xp1,0.02009539721421231
Xp2,0.11148646279057965
Xp3,0.012647359858484945
Xp4,0.04925586632965982
Xp5,0.07817069210135867
Xp6,0.2640726492792396
Xp7,0.059716259682882855
Xp8,0.21828591806079756
Xp9,0.03942721159642423
Xp10,0.06713531537971229
Xp11,0.11681708120106302
Xp12,0.20566499930398024
Xp13,0.021384603944377058
Xp14,0.09679784509419964
Xp15,0.1190993050275678
Xp16,0.11669566529686952
Xp17,0.27888745512947477
Xp18,0.32011304850252453
Xp19,0.087189677251241
Xp20,0.013229878529157715
Xp21,0.17074938428300834
Xp22,0.043279497351101745
Xp23,0.005758592872555647
Xp24,0.20623573559949537
Xp25,0.009303357494735747
Xp26,0.08968844648073732
Xp27,0.06871660154330239
Xp28,0.30046348301748027
Xp29,0.14487561876720495
Xp30,0.04376947735967783
Xp31,0.027405424073863673
Xp32,0.058284655168767074
Xp33,0.1677611730677886
Xp34,0.34831201516858856
Xp35,0.005475565982931084
Xp36,0.06277717839756586
Xp37,0.09749507359407855
Xp38,0.11776304814377536
Xp39,0.03172020041449623
Xp40,0.31593887856554614
Xp41,0.05064938717657075
Xp42,0.12095645540011393
Xp43,0.06218252680414488
Xp44,0.16911161103479075
Xp45,0.09216399007038373
Xp46,0.31965373445572615
Xp47,0.14060189274485632
Xp48,0.1893116955255286
Xp49,0.01714031275004551
Xp50,0.14360302331087355
Xi1,0.06515195954918683
Xi2,0.07244485016848495
Xi3,0.14849078244772487
Xi4,0.15190767260010962
Xi5,0.24084795786956031
Xi6,0.08077445465848379
Xi7,0.02368094465640635
Xi8,0.012242417211154086
Xi9,0.1782562436485328
Xi10,0.13035945524757214
Xi11,0.02938961739471558
Xi12,0.12108051128511482
Xi13,0.07473130051908106
Xi14,0.003010198310746088
Xi15,0.07812720962299072
Xi16,0.3708069423427707
Xi17,0.0225127121071654
Xi18,0.15858614161056195
Xi19,0.15996070664056844
Xi20,0.19961900964058593
Xi21,0.19378881153551358
Xi22,0.09686419098925902
Xi23,0.24764759888960192
Xi24,0.19228988908677735
Xi25,0.182925575179606
Xi26,0.00607030845940784
Xi27,0.06443871740121336
Xi28,0.05135049821838098
Xi29,0.00014022229590235423
Xi30,0.070329783827668
Xi31,0.06887289055872263
Xi32,0.1109520350091687
Xi33,0.1585294471119411
Xi34,0.041193500167667554
Xi35,0.08160053445655174
Xi36,0.08442325452413504
Xi37,0.25389599486861514
Xi38,0.07268276481276545
Xi39,0.06379528260275782
Xi40,0.14514067455400814
Xi41,0.0025886423980340826
Xi42,0.2512971348205217
Xi43,0.12977187736382598
Xi44,0.11136145346192718
Xi45,0.1362094811229337
Xi46,0.0458950597902235
Xi47,0.002754967802148082
Xi48,0.00912293774244493
Xi49,0.06361625725223899
Xi50,0.02438607972548009
Xs1,0.1673072465656178
Xs2,0.05546037383907482
Xs3,0.08309601949907093
Xs4,0.021506212569702532
Xs5,0.0627616176186591
Xs6,0.06511235424942184
Xs7,0.07155846110963923
Xs8,0.22307404621031818
Xs9,0.2302440064327736
Xs10,0.20544042684666197
Xs11,0.015173886602886948
Xs12,0.1990544865687886
Xs13,0.028069284123150344
Xs14,0.17094902832951345
Xs15,0.08249532396033243
Xs16,0.09054860683799529
Xs17,0.13644038721018764
Xs18,0.05750711371104504
Xs19,0.06581256359794001
Xs20,0.21242927078174517
Xs21,0.1105657792968109
Xs22,0.025743447838026165
Xs23,0.15222004173124742
Xs24,0.33756900736384443
Xs25,0.01701870281991652
Xs26,0.04912420669797399
Xs27,0.25037228630007635
Xs28,0.18084466220220963
Xs29,0.27135189154834494
Xs30,0.014574510651690315
Xs31,0.002742223903087165
Xs32,0.08718476489098778
Xs33,0.23247370755100577
Xs34,0.18384232055399236
Xs35,0.15664275675004696
Xs36,0.07731654761642696
Xs37,0.06572782236366576
Xs38,0.04477867962511718
Xs39,0.10049332178385323
Xs40,0.10973889217779059
Xs41,0.005006485994375387
Xs42,0.12120040156804435
Xs43,0.04107688383393346
Xs44,0.003921750579859878
Xs45,0.2462549833002995
Xs46,0.11469277708800368
Xs47,0.06858714128207259
Xs48,0.14738601380283897
Xs49,0.037585669890966455
Xs50,0.05764173375149109
Xs51,0.19855865194576
Xs52,0.26857843741001997
Xs53,0.15928745363372637
Xs54,0.11148294927206062
Xs55,0.19444104240818616
Xs56,0.004091868556871261
Xs57,0.22207237034657967
Xs58,0.07682065865996272
Xs59,0.0674467963259937
Xs60,0.14520695273522222
Xs61,0.015220869507479319
Xs62,0.18053133563003618
Xs63,0.06918046166812605
Xs64,0.016568759726777224
Xs65,0.0801138665075743
Xs66,0.012278851614292376
Xs67,0.15717616304604
Xs68,0.11395787729523289
Xs69,0.2517306572868538
Xs70,0.016707870794359092
Xs71,0.09120092567336888
Xs72,0.18386709975950982
Xs73,0.013006461893213705
Xs74,0.011071437730423872
Xs75,0.09209306000524031
Xs76,0.12973599960102672
Xs77,0.011594557893811655
Xs78,0.1651995917742684
Xs79,0.01541431792945072
Xs80,0.16902191362334068
Xs81,0.04532781831172836
Xs82,0.16695071217104557
Xs83,0.00043286610328932193
Xs84,0.07099137525500285
Xs85,0.10038381335895115
Xs86,0.11032948391872772
Xs87,0.06922579209578514
Xs88,0.05790372579985014
Xs89,0.23349765962092722
Xs90,0.09006238069361536
Xs91,0.04796393438683309
Xs92,0.013822648653332156
Xs93,0.2246342957344084
Xs94,0.03692359991388913
Xs95,0.07269404476221136
Xs96,0.13420297347530696
Xs97,0.061580866491359645
Xs98,0.2692478134045304
Xs99,0.2973179575735536
Xs100,0.00040866506447724614
Xs101,0.008938706060480289
Xs102,0.06456878365833191
Xs103,0.2063937118494373
Xs104,0.2608873105150716
Xs105,0.08742304289737819
Xs106,0.1343927134675263
Xs107,0.05212115367409402
Xs108,0.24848125715418098
Xs109,0.0721043209320697
Xs110,0.17461278293847735
Xs111,0.0645299860717685
Xs112,0.07165251010713439
Xs113,0.10718628391389001
Xs114,0.015056323638811774
Xs115,0.04190206624613657
Xs116,0.03067251339721425
Xs117,0.14876192171085312
Xs118,0.277924626727487
Xs119,0.048559590884482966
Xs120,0.12279810489520752
Xs121,0.047361320728755964
Xs122,0.021045325698975933
Xs123,0.029930233609060223
Xs124,0.0524038248086819
Xs125,0.04066732355008812
Xs126,0.27272758407525943
Xs127,0.12326135256137402
Xs128,0.003919435511954729
Xs129,0.2921235255719594
Xs130,0.3188217563285638
Xs131,0.093102487981371
Xs132,0.10012839152212447
Xs133,0.036602740839917686
Xs134,0.00985304129104326
Xs135,0.36228073629134944
Xs136,0.08119747379020777
Xs137,0.022419620389881524
Xs138,0.14659661918776506
Xs139,0.03183488920341515
Xs140,0.052661062345032
Xs141,0.1606775904257296
Xs142,0.173923842181125
Xs143,0.05748595284477697
Xs144,0.16361274326032837
Xs145,0.10698091518147529
Xs146,0.23508381085951408
Xs147,0.11825539796260191
Xs148,0.10045317893231462
Xs149,0.14336874734160648
Xs150,0.053958468591262077
Xs151,0.21245275350953458
Xs152,0.08068128095197645
