covariate_index,amd_after
Xc1,0.05119578665924885
Xc2,0.09364386374651397
Xp1,0.049246229669923466
Xp2,0.08866667079305264
Xi1,0.8156650711157739
Xi2,1.0567935863800253
Xs1,0.077808816591358
Xs2,0.16515460693673029
Xs3,0.06322337252831714
Xs4,0.04597449638568009
Xs5,0.1916997412648526
Xs6,0.2712054856481452
Xs7,0.02388106824265462
Xs8,0.35033747246985525
Xs9,0.057347021269274615
Xs10,0.2164942885555024
Xs11,0.06998767577804813
Xs12,0.11695578657668229
Xs13,0.0919818672491737
Xs14,0.009376318071997946
Xs15,0.09548848486286168
Xs16,0.058398091000780666
Xs17,0.28197303654383143
Xs18,0.1226950819852361
Xs19,0.1135145377562427
Xs20,0.0006307663210520231
Xs21,0.11408646054717189
Xs22,0.11659814446828076
Xs23,0.13911594020348866
Xs24,0.05816919733570859
Xs25,0.11418600964315782
Xs26,0.07549329270037526
Xs27,0.0830838137261765
Xs28,0.13386532531400308
Xs29,0.00039952647368892563
Xs30,0.16358317733262334
Xs31,0.06089913443786359
Xs32,0.0007597137482168934
Xs33,0.19353839871589812
Xs34,0.02019694942442897
Xs35,0.08450591265556104
Xs36,0.19820627192341062
Xs37,0.13395826615401918
Xs38,0.07662519768394051
Xs39,0.13072231852657895
Xs40,0.19434620681956827
Xs41,0.1522439866135013
Xs42,0.044755145607506944
Xs43,0.21168658634217363
Xs44,0.25854836361221967
Xs45,0.056728186861016563
Xs46,0.0805305825561323
Xs47,0.053936810983206185
Xs48,0.021604720756831584
Xs49,0.2794103006615688
Xs50,0.3589977601197105
Xs51,0.2547280422125988
Xs52,0.07556568483098282
Xs53,0.13209796829560272
Xs54,0.06015695832517575
Xs55,0.07833960764206435
Xs56,0.068058330246888
Xs57,0.06539734064595176
Xs58,0.17020343999783794
Xs59,0.08173473328240065
Xs60,0.11709358654110451
Xs61,0.13690191172456173
Xs62,0.13426557540600287
Xs63,0.04288177756348313
Xs64,0.11883988428890216
Xs65,0.13483694569911459
Xs66,0.2458838389865754
Xs67,0.11287165349616873
Xs68,0.1291187106932121
Xs69,0.15118496177659035
Xs70,0.06774117335960989
Xs71,0.0051783743067974715
Xs72,0.1526415802082781
Xs73,0.1014125780072715
Xs74,0.00860443083769768
Xs75,0.1016209106732413
Xs76,0.03519906285699492
Xs77,0.10549219225575633
Xs78,0.29500203459137786
Xs79,0.23826831595265696
Xs80,0.06445546223479998
Xs81,0.12135165692453338
Xs82,0.29152537643832815
Xs83,0.025961216524923534
Xs84,0.08682526346047306
Xs85,0.08649366476870757
Xs86,0.12662861917538654
Xs87,0.11324934018006239
Xs88,0.1399066744875356
Xs89,0.13733275210130252
Xs90,0.12475359759363219
Xs91,0.07514325060318751
Xs92,0.05012272025037596
Xs93,0.2216010626143751
Xs94,0.0607847054608765
