ate,method,rep
8.089134153589074,OAL,0
13.5640822301117,IPWX,0
8.386287632274449,Conf,0
8.51431626518674,Targ,0
13.551467021088985,PotConf,0
5.953114783901653,OAL,1
11.955696880215605,IPWX,1
4.9552578640270895,Conf,1
6.0665072900400725,Targ,1
11.943417434989982,PotConf,1
8.920291929716708,OAL,2
13.799509275108715,IPWX,2
6.315875424816656,Conf,2
6.612032028449583,Targ,2
13.790800247880055,PotConf,2
4.7564609775494215,OAL,3
12.983238382047478,IPWX,3
3.6506997159131758,Conf,3
1.3785110656696538,Targ,3
12.976722852979483,PotConf,3
4.009774725614978,OAL,4
13.495222473133055,IPWX,4
6.472959915244088,Conf,4
2.1880860544398955,Targ,4
13.480989345321651,PotConf,4
7.214237169257498,OAL,5
13.922381571158986,IPWX,5
7.691189772133789,Conf,5
9.19056708451112,Targ,5
13.918192921560827,PotConf,5
5.224117473258028,OAL,6
13.465337003608997,IPWX,6
3.666945696544861,Conf,6
8.849234902941374,Targ,6
13.4617640653539,PotConf,6
5.807212385911333,OAL,7
13.058293209997576,IPWX,7
7.181361340477907,Conf,7
4.012454116953794,Targ,7
13.046671661070995,PotConf,7
9.054077493356795,OAL,8
14.228276075726775,IPWX,8
10.492275325053185,Conf,8
10.296179444929795,Targ,8
14.225877503833074,PotConf,8
8.23521220990382,OAL,9
12.971756722850861,IPWX,9
9.446683718053169,Conf,9
10.647239990829858,Targ,9
12.968272139387281,PotConf,9
9.045064678988396,OAL,10
13.165635238513321,IPWX,10
10.103706062169426,Conf,10
9.51519488929377,Targ,10
13.158543964672575,PotConf,10
10.217309777189515,OAL,11
13.472878045548697,IPWX,11
9.509345377870263,Conf,11
10.880507107508615,Targ,11
13.465849043930486,PotConf,11
8.361504982553724,OAL,12
13.625488414594269,IPWX,12
8.718539155233405,Conf,12
10.010291122728677,Targ,12
13.618058015245946,PotConf,12
6.991737232243699,OAL,13
12.882522234670805,IPWX,13
7.96616226742791,Conf,13
9.426580340233892,Targ,13
12.86519353923845,PotConf,13
11.18303084994661,OAL,14
13.996305305207587,IPWX,14
10.443840174761437,Conf,14
13.91082950178401,Targ,14
13.988156487575658,PotConf,14
8.858925531376045,OAL,15
13.847351107932528,IPWX,15
6.7219982253036825,Conf,15
13.744976630505473,Targ,15
13.842419889573469,PotConf,15
6.052092991988472,OAL,16
13.734147080019177,IPWX,16
8.688307171219835,Conf,16
11.152282682565176,Targ,16
13.727758981050354,PotConf,16
8.821571839658029,OAL,17
13.686035550898083,IPWX,17
10.527002771863618,Conf,17
11.629486976738342,Targ,17
13.683570729149102,PotConf,17
8.550056675278526,OAL,18
14.234441070357072,IPWX,18
9.170909674821658,Conf,18
9.35266949703168,Targ,18
14.227542008243272,PotConf,18
8.48369012030255,OAL,19
12.585896984862222,IPWX,19
8.494365591329144,Conf,19
9.544002585206496,Targ,19
12.578674704885305,PotConf,19
7.519207501386417,OAL,20
12.799551301862142,IPWX,20
2.7897333836641263,Conf,20
5.943578218751629,Targ,20
12.79241854659676,PotConf,20
9.568444873815363,OAL,21
13.221491306512998,IPWX,21
8.795798455672042,Conf,21
9.748848806967196,Targ,21
13.21421955229356,PotConf,21
7.460637905528911,OAL,22
13.499069834584478,IPWX,22
7.15804537075423,Conf,22
10.751051681709257,Targ,22
13.492514295432569,PotConf,22
5.38755389495556,OAL,23
13.460497758639818,IPWX,23
6.542120250447637,Conf,23
8.157708917998242,Targ,23
13.456314947036368,PotConf,23
8.064068549801135,OAL,24
13.161615075039052,IPWX,24
8.701482677209093,Conf,24
10.033138282739282,Targ,24
13.155163819282318,PotConf,24
9.057593529018797,OAL,25
13.42584274422488,IPWX,25
7.612960448668906,Conf,25
11.481265385303583,Targ,25
13.41962481543871,PotConf,25
7.874336009328708,OAL,26
13.223385144050848,IPWX,26
7.746519295982788,Conf,26
8.371749662514361,Targ,26
13.216160850759074,PotConf,26
9.24861967885171,OAL,27
12.865390925674669,IPWX,27
9.51237939915128,Conf,27
12.696687719735735,Targ,27
12.859966472227768,PotConf,27
8.740740826339028,OAL,28
13.107744855408333,IPWX,28
8.136629441702691,Conf,28
5.840665813629514,Targ,28
13.102697775628226,PotConf,28
9.66949399839267,OAL,29
13.418279273152962,IPWX,29
7.464995842618498,Conf,29
9.905435336442562,Targ,29
13.40923549746898,PotConf,29
