covariate_index,wamd_before
Xs292,0.0
Xs293,0.0
Xs294,0.0
Xs295,0.0
Xs296,0.0
Xs297,0.0
Xs298,0.0
Xs299,0.0
Xs300,0.0
Xs301,0.0
Xs302,0.0
Xs303,0.0
Xs304,0.0
Xs305,0.0
Xs306,0.0
Xs307,0.0
Xs308,0.01036335219518868
Xs309,0.0
Xs310,0.03663100385952896
Xs311,0.0
Xs312,0.0
Xs313,0.0
Xs314,0.0
Xs315,0.0
Xs316,0.0
Xs317,0.0282824172789946
Xs318,0.0
Xs319,0.13254985610792996
Xs320,0.0
Xs321,0.0
Xs322,0.0
Xs323,0.0
Xs324,0.05457066115253993
Xs325,0.10317602175974887
Xs326,0.0
Xs327,0.0
Xs328,0.051743235083946876
Xs329,0.0
Xs330,0.0
Xs331,0.0
Xs332,0.0
Xs333,0.0
Xs334,0.002634710637148801
Xs335,0.0
Xs336,0.0
Xs337,0.0
Xs338,0.0
Xs339,0.0
Xs340,0.007753582092851989
Xs341,0.0
Xs342,0.013238190203640691
Xs343,0.0
Xs344,0.0
Xs345,0.024726725299935755
Xs346,0.0
Xs347,0.0
Xs348,0.0
Xs349,0.0
Xs350,0.0
Xs351,0.016084260668634165
Xs352,0.0
Xs353,0.016730968755109047
Xs354,0.0
Xs355,0.047564360885137096
Xs356,0.0
Xs357,0.0
Xs358,0.0
Xs359,0.0
Xs360,0.0
Xs361,0.0
Xs362,0.0
Xs363,0.0
Xs364,0.0
Xs365,0.13667819895203107
Xs366,0.0
Xs367,0.0
Xs368,0.004321970603920044
Xs369,0.0
Xs370,0.0
Xs371,0.0
Xs372,0.0
Xs373,0.0
Xs374,0.0
Xs375,0.0
Xs376,0.0
Xs377,0.0
Xs378,0.0
Xs379,0.0
Xs380,0.0
Xs381,0.0
Xs382,0.0
Xs383,0.0
Xs384,0.14602976660475073
Xs385,0.0
Xs386,0.0
Xs387,0.0
Xs388,0.07733666423779403
Xs389,0.0
Xs390,0.0
Xs391,0.0
Xs392,0.0
Xs393,0.1545578885809147
Xs394,0.0
Xs395,0.0
Xs396,0.0
Xs397,0.0
Xs398,0.0
Xs399,0.0
Xs400,0.0
Xs401,0.0
Xs402,0.0
Xs403,0.0
Xs404,0.0
Xs405,0.0
Xs406,0.0
Xs407,0.1700016717670276
Xs408,0.0
Xs409,0.0
Xs410,0.0
Xs411,0.0
Xs412,0.0811984652848544
Xs413,0.037944630710851024
Xs414,0.0
Xs415,0.0
Xs416,0.0
Xs417,0.0
Xs418,0.0
Xs419,0.0
Xs420,0.0
Xs421,0.0
Xs422,0.0
Xs423,0.0
Xs424,0.0
Xs425,0.0023283897690339487
Xs426,0.0
Xs427,0.0
