coef_index,coef_value
Xc1,0.6168791904707878
Xc2,0.4251267471562704
Xp1,0.5799885065698258
Xp2,-0.03265360345500183
Xi1,0.06356766582415256
Xi2,0.04048471989935834
Xs1,-0.08916529703977973
Xs2,0.031550955991519414
Xs3,-0.12577166328142125
Xs4,-0.028278491144247395
Xs5,-0.12150683112302084
Xs6,-0.1973202187110578
Xs7,0.08327516126110568
Xs8,-0.021790033687704435
Xs9,0.18596404414327306
Xs10,-0.08910945994550373
Xs11,0.09952921983841917
Xs12,0.16185475288225856
Xs13,0.1384554222311352
Xs14,0.059668854031536184
Xs15,0.11016010974384498
Xs16,-0.14262510994338012
Xs17,-0.017877176931267016
Xs18,-0.011325076031311998
Xs19,-0.06731684387025665
Xs20,0.11437238525859908
Xs21,0.03162178772955415
Xs22,-0.12142325070990044
Xs23,-0.0065381866866624505
Xs24,0.05465992715773718
Xs25,-0.08383896605976801
Xs26,0.010064391938034316
Xs27,0.013346873175854396
Xs28,0.003024736631765456
Xs29,-0.11614953894083052
Xs30,-0.12157886395253138
Xs31,-0.051808096195888276
Xs32,0.13248258180947003
Xs33,0.09724343251351869
Xs34,0.1070232219711654
Xs35,-0.0020734552227898023
Xs36,0.10177051197294648
Xs37,-0.0340902403392115
Xs38,-0.1171417414249187
Xs39,-0.06329474897680352
Xs40,-0.0988101250735351
Xs41,0.07869678433080923
Xs42,0.06882046783519497
Xs43,0.17552417848993707
Xs44,-0.12166946354074995
Xs45,0.10235764681160317
Xs46,-0.020230200591912634
Xs47,-0.07065214897702983
Xs48,0.05303344123841053
Xs49,0.11041100323551598
Xs50,-0.05913255405223096
Xs51,0.039001000829804636
Xs52,-0.11727419650667048
Xs53,0.053157560212313715
Xs54,0.04424889921984983
Xs55,-0.16779326356858615
Xs56,-0.18169676848100474
Xs57,-0.07667613535112501
Xs58,0.009531531234289143
Xs59,-0.13354897784301192
Xs60,-0.06937561531297762
Xs61,0.015700729992300794
Xs62,0.01676036959264845
Xs63,0.12132432383361214
Xs64,-0.0702894527786844
Xs65,-0.04053013355644662
Xs66,0.0985744112368109
Xs67,0.08974839931442002
Xs68,0.047258333748976894
Xs69,0.2174272466354839
Xs70,0.06685313976875545
Xs71,-0.03849762505039028
Xs72,-0.09283023798873578
Xs73,0.12578628127945185
Xs74,-0.007052954339615204
Xs75,0.11905630198342657
Xs76,0.1946027979623819
Xs77,0.030137558713241468
Xs78,0.09398721879147678
Xs79,-0.1331463323023041
Xs80,-0.0334480835347877
Xs81,-0.10161235034786235
Xs82,0.152747482324181
Xs83,-0.06882512685402314
Xs84,-0.0329273294323962
Xs85,0.1989044559947862
Xs86,-0.047632221216551474
Xs87,-0.20349222012141824
Xs88,0.007894772958204621
Xs89,0.09027791405472858
Xs90,-0.0903326116245309
Xs91,-0.008985101668964553
Xs92,-0.09677699644987085
Xs93,0.004585219560493348
Xs94,0.04214837179513806
