ate,method,rep
0.9813179045200917,OAL,0
2.2777443072253067,IPWX,0
0.9595013421735945,Conf,0
0.80403115886653,Targ,0
2.2593597051854872,PotConf,0
-0.16797054322500005,OAL,1
0.6153366989092424,IPWX,1
-0.4857605477619794,Conf,1
-0.11694473308018556,Targ,1
0.20727216440455526,PotConf,1
-0.012909936419327755,OAL,2
1.798604777755651,IPWX,2
0.06800453076311845,Conf,2
-0.08179910462865972,Targ,2
1.3049290625197583,PotConf,2
-0.01683878774252566,OAL,3
1.4159759672826686,IPWX,3
0.12167175060319615,Conf,3
-0.11346339205410519,Targ,3
-1.9584870061244106,PotConf,3
-0.0565266119776435,OAL,4
1.4887579044183132,IPWX,4
0.15394514758938743,Conf,4
-0.10118334857886943,Targ,4
1.484169523033804,PotConf,4
1.0595436459953498,OAL,5
1.96777192225863,IPWX,5
0.39715232268172806,Conf,5
0.4630780225915311,Targ,5
1.7774765151436913,PotConf,5
-0.25695291338593934,OAL,6
0.9993657825015517,IPWX,6
0.1599149525457993,Conf,6
-0.45870136190895905,Targ,6
0.9968883565169269,PotConf,6
0.07122854878700367,OAL,7
1.019683883364051,IPWX,7
-0.3103820464941175,Conf,7
0.01408851323546038,Targ,7
1.0169318745984501,PotConf,7
0.07332745775041638,OAL,8
1.3618343629453546,IPWX,8
0.07317910890661808,Conf,8
0.13082760432229426,Targ,8
1.3605601939445733,PotConf,8
0.12561392236680882,OAL,9
1.3045739652199004,IPWX,9
-0.014588617689126726,Conf,9
-0.021578918815181578,Targ,9
0.6812272527292094,PotConf,9
0.13165099506306707,OAL,10
1.7469994562574462,IPWX,10
-0.05097806258657668,Conf,10
-1.154122933427125,Targ,10
1.7164255396205954,PotConf,10
-0.12202326724230526,OAL,11
1.4701837381369591,IPWX,11
0.30724961257743655,Conf,11
-0.158069439519358,Targ,11
1.1398275238594133,PotConf,11
0.014549266700078264,OAL,12
0.6158491498888385,IPWX,12
-0.10401432017880555,Conf,12
-0.09083126041324663,Targ,12
0.14468386654440446,PotConf,12
0.3427666967539865,OAL,13
2.2105395579117135,IPWX,13
0.4441297291189667,Conf,13
0.22627853580319188,Targ,13
2.191356457665576,PotConf,13
0.11233791827042455,OAL,14
1.6348556842457602,IPWX,14
-0.2441482698270867,Conf,14
0.15427584338092928,Targ,14
0.8829694484010775,PotConf,14
0.4153301826922003,OAL,15
1.2208867949988553,IPWX,15
0.4866832139031817,Conf,15
0.19804528119155645,Targ,15
1.2555516405911513,PotConf,15
0.3278519209687061,OAL,16
0.8536275212840556,IPWX,16
-0.6349590722913441,Conf,16
-0.052100477888208166,Targ,16
0.8476145776028228,PotConf,16
0.19655304638429172,OAL,17
1.6175045788094273,IPWX,17
0.2903549139742717,Conf,17
-0.08657044362880703,Targ,17
-0.848990116934081,PotConf,17
-0.07454772583157772,OAL,18
1.3291419743898838,IPWX,18
-0.530133911260588,Conf,18
-0.4394946232329992,Targ,18
1.3260355136499198,PotConf,18
0.024377057281753257,OAL,19
1.4735579545995123,IPWX,19
-0.19677290670140585,Conf,19
-0.17804156133510668,Targ,19
1.4665689403013338,PotConf,19
-0.16724677731727858,OAL,20
1.2220568583099856,IPWX,20
-0.35882028142147615,Conf,20
-0.13127877538512578,Targ,20
0.09095788909382896,PotConf,20
0.08542715419954588,OAL,21
1.1368496413346725,IPWX,21
0.09693076208203791,Conf,21
0.17400351500102404,Targ,21
0.9134141152404418,PotConf,21
0.6091927135977377,OAL,22
1.523555552643272,IPWX,22
0.5520067225105708,Conf,22
0.39737327025927305,Targ,22
0.7392328583589084,PotConf,22
0.1720434467230823,OAL,23
0.6210488930941991,IPWX,23
-0.35043057791271204,Conf,23
0.02471178194185663,Targ,23
0.7429323795337185,PotConf,23
0.5072086902083429,OAL,24
1.827933802646378,IPWX,24
0.4710410544951408,Conf,24
0.30999980807575217,Targ,24
1.8219261611736939,PotConf,24
0.07436877039693934,OAL,25
1.9728323676071693,IPWX,25
0.37235455410812196,Conf,25
0.045435795636709575,Targ,25
1.9651418341976281,PotConf,25
-0.07208141432797915,OAL,26
1.6158225610465982,IPWX,26
0.3786173611143365,Conf,26
-0.4429017320022958,Targ,26
0.9497691223281456,PotConf,26
0.20576143032452743,OAL,27
1.5091400840368496,IPWX,27
0.007587632167418819,Conf,27
-0.02327011734913513,Targ,27
1.7924985401536568,PotConf,27
0.4019277595261572,OAL,28
1.6584759285364035,IPWX,28
0.2746032883214809,Conf,28
0.38285833264082864,Targ,28
2.1359307524066216,PotConf,28
-0.025169060708198576,OAL,29
1.2489255714438112,IPWX,29
-0.3871264507352543,Conf,29
-0.08243964732053333,Targ,29
1.6269079454319804,PotConf,29
