ate,method,rep
-0.017264580889260944,OAL,0
0.6630367994528215,IPWX,0
-0.007535171810341412,Conf,0
-0.06988173696884546,Targ,0
0.14453433027692603,PotConf,0
0.10458830710036066,OAL,1
0.6421276654143604,IPWX,1
-0.05116619423547947,Conf,1
0.07350065779771638,Targ,1
0.17206935935885154,PotConf,1
0.07679123785973359,OAL,2
0.6486698014169259,IPWX,2
0.12641426945839193,Conf,2
0.08420352097705272,Targ,2
-1.3688186541917262,PotConf,2
-0.1258531599420083,OAL,3
0.4332319531874269,IPWX,3
-0.13757632481676943,Conf,3
-0.2534694378723018,Targ,3
-1.962633892665444,PotConf,3
0.022885269180039414,OAL,4
0.41924352765880746,IPWX,4
-0.07850333193036907,Conf,4
-0.03594112751265474,Targ,4
0.32198139196057823,PotConf,4
-0.13961632529657733,OAL,5
0.3298364415889014,IPWX,5
-0.1962678123596212,Conf,5
-0.17726444050908483,Targ,5
-0.2758547467956021,PotConf,5
0.39584139983492933,OAL,6
0.8732679884057322,IPWX,6
0.5502849635306456,Conf,6
0.3199394125466958,Targ,6
0.3782642103950383,PotConf,6
-0.1975853749105532,OAL,7
0.41492043209834817,IPWX,7
-0.31884933403189714,Conf,7
-0.17263057296638962,Targ,7
-0.038300035259696774,PotConf,7
0.22086715609053148,OAL,8
0.7865827239875027,IPWX,8
0.2812978664331439,Conf,8
0.13194230716698968,Targ,8
0.3329663804049228,PotConf,8
0.286611040840701,OAL,9
0.796532657610286,IPWX,9
0.33551764145918184,Conf,9
0.2018921788269195,Targ,9
-0.15306013914942387,PotConf,9
0.15804680590956316,OAL,10
0.821195436303823,IPWX,10
0.30369079107989894,Conf,10
0.1821156617620323,Targ,10
0.4230206145648888,PotConf,10
0.009190400786291873,OAL,11
0.6678121780744931,IPWX,11
0.06333140825142224,Conf,11
-0.01932374455535895,Targ,11
0.4112831061397021,PotConf,11
-0.09087358856591951,OAL,12
0.5074942121336272,IPWX,12
0.009791969339949483,Conf,12
-0.12619161293363373,Targ,12
0.306221794248022,PotConf,12
-0.06609630602612779,OAL,13
0.7859795786690599,IPWX,13
-0.0028682793131144524,Conf,13
0.035698183622802276,Targ,13
0.39420164144454034,PotConf,13
0.13252822416504964,OAL,14
0.419328361625959,IPWX,14
0.0946384118912067,Conf,14
0.052699904460814115,Targ,14
0.3643449799262421,PotConf,14
-0.13754197248924377,OAL,15
0.24087409805796858,IPWX,15
-0.29935908585272897,Conf,15
-0.11743915158071294,Targ,15
0.18841138059880672,PotConf,15
0.0755403840246483,OAL,16
0.6183411481788107,IPWX,16
0.11762491868994848,Conf,16
-0.0861867998849179,Targ,16
-1.1675693279259458,PotConf,16
-0.08422178439825184,OAL,17
0.3724723136914074,IPWX,17
-0.1487315228113359,Conf,17
-0.18851959110817282,Targ,17
-0.5759619419483714,PotConf,17
0.2591268530400773,OAL,18
0.690375591329762,IPWX,18
0.2629158172694467,Conf,18
0.14773466816782005,Targ,18
-0.34916852462992704,PotConf,18
0.29367236439734423,OAL,19
0.8643687978629562,IPWX,19
0.32906818362556545,Conf,19
0.22996018487290493,Targ,19
0.06329930724248467,PotConf,19
0.35494121796465006,OAL,20
1.233685240928299,IPWX,20
0.4995987767156571,Conf,20
0.3562837191252036,Targ,20
0.997880916905132,PotConf,20
0.3305621671287672,OAL,21
0.7797126553003737,IPWX,21
0.27397581322585246,Conf,21
0.32629500838553893,Targ,21
0.3244289599912654,PotConf,21
0.26000767935831065,OAL,22
0.744795911254717,IPWX,22
0.24124911851414332,Conf,22
0.2008721003436314,Targ,22
0.4480383287990142,PotConf,22
0.18013155471253497,OAL,23
0.9279559650824405,IPWX,23
0.10665259918695333,Conf,23
0.039136813954620736,Targ,23
1.2365299196979724,PotConf,23
0.26211666380864046,OAL,24
0.8160066117830809,IPWX,24
0.24329955904759737,Conf,24
0.23529453577683979,Targ,24
0.10499715623660764,PotConf,24
-0.23820922384678003,OAL,25
0.4019553827692,IPWX,25
-0.17137598646516627,Conf,25
-0.18037678267110224,Targ,25
-0.7663177284164389,PotConf,25
-0.08234128147843253,OAL,26
0.3254251430301863,IPWX,26
-0.0881220799312869,Conf,26
-0.10572454608493581,Targ,26
0.09574584549913255,PotConf,26
-0.22116988424043688,OAL,27
0.3277187091792957,IPWX,27
-0.16557117837357382,Conf,27
-0.09156344083094312,Targ,27
-0.3443794133294596,PotConf,27
0.21748364967396105,OAL,28
0.683030802455572,IPWX,28
0.2300724505816284,Conf,28
0.19977478016048766,Targ,28
0.5563533237112877,PotConf,28
0.06221843768212977,OAL,29
0.46062392808498304,IPWX,29
-0.012816537532618189,Conf,29
-0.07875822103045627,Targ,29
-0.051051422848882505,PotConf,29
